"","year","mpaa","A_power","HolidaySeason","producer_power","director_power","distributor_power","genre_power","domestic_cut","budget_cut","numVotes_cut","averageRating_round"
"1","1990","NA","0","FALSE","FALSE","FALSE","TRUE","TRUE","high","medium","high","7"
"2","1990","5","2","TRUE","FALSE","FALSE","TRUE","TRUE","low","medium","low","6"
"3","1990","NA","0","TRUE","FALSE","FALSE","FALSE","TRUE","high","medium","high","8"
"4","1990","NA","0","TRUE","FALSE","FALSE","TRUE","TRUE","high","medium","medium","6"
"5","1990","NA","1","TRUE","FALSE","FALSE","TRUE","TRUE","high","high","high","7"
"6","1991","NA","0","FALSE","FALSE","FALSE","FALSE","TRUE","low","medium","low","6"
"7","1990","NA","0","TRUE","FALSE","FALSE","FALSE","TRUE","high","medium","high","7"
"8","1990","5","0","TRUE","FALSE","FALSE","FALSE","FALSE","medium","medium","high","8"
"9","1990","5","0","TRUE","FALSE","FALSE","TRUE","TRUE","low","medium","low","6"
"10","1990","NA","0","TRUE","FALSE","FALSE","TRUE","TRUE","high","low","high","8"
"11","1990","NA","0","FALSE","FALSE","FALSE","FALSE","TRUE","high","medium","medium","8"
"12","1990","NA","1","TRUE","FALSE","FALSE","TRUE","TRUE","high","low","medium","6"
"13","1990","5","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","low","low","6"
"14","1990","NA","0","FALSE","FALSE","FALSE","TRUE","TRUE","low","low","low","7"
"15","1990","5","0","FALSE","FALSE","FALSE","TRUE","FALSE","low","low","low","8"
"16","1990","5","1","FALSE","FALSE","FALSE","TRUE","TRUE","high","low","high","7"
"17","1990","NA","0","FALSE","FALSE","FALSE","TRUE","TRUE","high","low","medium","7"
"18","1990","NA","1","TRUE","FALSE","FALSE","TRUE","TRUE","high","medium","high","8"
"19","1991","NA","0","TRUE","FALSE","FALSE","FALSE","TRUE","high","medium","medium","7"
"20","1991","5","0","TRUE","FALSE","FALSE","FALSE","TRUE","low","low","low","5"
"21","1991","NA","0","TRUE","FALSE","FALSE","TRUE","FALSE","high","medium","high","8"
"22","1991","5","1","TRUE","FALSE","FALSE","TRUE","FALSE","low","medium","low","6"
"23","1991","5","0","TRUE","FALSE","FALSE","FALSE","FALSE","medium","low","medium","8"
"24","1991","NA","0","TRUE","FALSE","FALSE","FALSE","TRUE","high","medium","medium","7"
"25","1991","5","0","FALSE","FALSE","FALSE","FALSE","FALSE","low","low","low","7"
"26","1991","NA","0","FALSE","FALSE","FALSE","FALSE","TRUE","low","low","low","6"
"27","1991","NA","0","TRUE","FALSE","FALSE","TRUE","TRUE","low","low","low","6"
"28","1991","5","0","FALSE","FALSE","FALSE","FALSE","TRUE","low","low","low","5"
"29","1991","5","0","TRUE","FALSE","FALSE","TRUE","TRUE","medium","medium","low","6"
"30","1991","5","0","FALSE","FALSE","FALSE","TRUE","FALSE","medium","low","medium","5"
"31","1991","5","0","FALSE","FALSE","FALSE","FALSE","TRUE","low","medium","low","6"
"32","1991","NA","2","TRUE","FALSE","FALSE","FALSE","TRUE","high","high","high","7"
"33","1991","NA","0","TRUE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","7"
"34","1991","5","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","low","low","5"
"35","1991","5","1","FALSE","FALSE","FALSE","FALSE","TRUE","low","medium","medium","6"
