"","title","domestic","budget","averageRating","numVotes","year","mpaa","A_power","HolidaySeason","producer_power","director_power","distributor_power","genre_power","domestic_cut","budget_cut","numVotes_cut","averageRating_round"
"1","Back to the Future Part III",88277583,4e+07,7.4,424282,1990,NA,0,FALSE,FALSE,FALSE,TRUE,TRUE,"high","medium","high",7
"2","The Bonfire of the Vanities",15691192,4.7e+07,5.6,24376,1990,"R",2,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
"3","Dances with Wolves",184208848,2.2e+07,8,251703,1990,NA,0,TRUE,FALSE,FALSE,FALSE,TRUE,"high","medium","high",8
"4","Dick Tracy",103738726,4.7e+07,6.1,59981,1990,NA,0,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","medium",6
"5","Die Hard 2",117540947,7e+07,7.1,348886,1990,NA,1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","high",7
"6","Flight of the Intruder",14587732,3.5e+07,5.8,6842,1991,NA,0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","medium","low",6
"7","Ghost",217631306,2.2e+07,7.1,207191,1990,NA,0,TRUE,FALSE,FALSE,FALSE,TRUE,"high","medium","high",7
"8","The Godfather: Part III",66666062,5.4e+07,7.6,377343,1990,"R",0,TRUE,FALSE,FALSE,FALSE,FALSE,"medium","medium","high",8
"9","Havana",9243140,4e+07,6.1,7777,1990,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
"10","Home Alone",285761243,1.8e+07,7.6,511525,1990,NA,0,TRUE,FALSE,FALSE,TRUE,TRUE,"high","low","high",8
"11","The Hunt for Red October",122012643,3e+07,7.6,189679,1990,NA,0,FALSE,FALSE,FALSE,FALSE,TRUE,"high","medium","medium",8
"12","Kindergarten Cop",91457688,1.5e+07,6.2,143093,1990,NA,1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","low","medium",6
"13","Lionheart",24078196,6e+06,6.2,34945,1990,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","low","low",6
"14","Metropolitan",2960492,230000,7.4,10721,1990,NA,0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","low",7
"15","Paris Is Burning",3905297,5e+05,8.2,14288,1990,"R",0,FALSE,FALSE,FALSE,TRUE,FALSE,"low","low","low",8
"16","Pretty Woman",178406268,1.4e+07,7.1,306338,1990,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"high","low","high",7
"17","Teenage Mutant Ninja Turtles",135265915,13500000,6.8,89649,1990,NA,0,FALSE,FALSE,FALSE,TRUE,TRUE,"high","low","medium",7
"18","Total Recall",119412921,6.5e+07,7.5,316308,1990,NA,1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","high",8
"19","The Addams Family",113502426,3e+07,6.9,146308,1991,NA,0,TRUE,FALSE,FALSE,FALSE,TRUE,"high","medium","medium",7
"20","Another You",2865916,1.7e+07,5.4,3885,1991,"R",0,TRUE,FALSE,FALSE,FALSE,TRUE,"low","low","low",5
"21","Beauty and the Beast",218967620,2.5e+07,8,429990,1991,NA,0,TRUE,FALSE,FALSE,TRUE,FALSE,"high","medium","high",8
"22","Billy Bathgate",15565363,4.8e+07,5.9,11768,1991,"R",1,TRUE,FALSE,FALSE,TRUE,FALSE,"low","medium","low",6
"23","Boyz n the Hood",57504069,6500000,7.8,133889,1991,"R",0,TRUE,FALSE,FALSE,FALSE,FALSE,"medium","low","medium",8
"24","City Slickers",124033791,2.7e+07,6.8,53410,1991,NA,0,TRUE,FALSE,FALSE,FALSE,TRUE,"high","medium","medium",7
"25","City of Hope",1345015,3e+06,7.3,2449,1991,"R",0,FALSE,FALSE,FALSE,FALSE,FALSE,"low","low","low",7
"26","Delirious",5546827,1.8e+07,5.9,8327,1991,NA,0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","low","low",6
"27","Dutch",4603929,1.7e+07,6.5,12246,1991,NA,0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","low","low",6
"28","Eve of Destruction",5451119,1.3e+07,4.9,2217,1991,"R",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","low","low",5
"29","For the Boys",17860280,4e+07,6.4,5549,1991,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","low",6
"30","Freddy's Dead: The Final Nightmare",34872033,1.1e+07,4.9,44501,1991,"R",0,FALSE,FALSE,FALSE,TRUE,FALSE,"medium","low","medium",5
"31","Harley Davidson and the Marlboro Man",7434726,2.3e+07,6.1,19630,1991,"R",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","medium","low",6
"32","Hook",119654823,7e+07,6.8,244072,1991,NA,2,TRUE,FALSE,FALSE,FALSE,TRUE,"high","high","high",7
"33","Hot Shots!",69467617,2.6e+07,6.8,104122,1991,NA,0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",7
"34","House Party 2",19438638,5e+06,5.3,6415,1991,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","low","low",5
"35","Hudson Hawk",17218080,6.5e+07,5.8,54736,1991,"R",1,FALSE,FALSE,FALSE,FALSE,TRUE,"low","medium","medium",6
"36","Jungle Fever",32482682,1.4e+07,6.6,18027,1991,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","low","low",7
"37","Life Stinks",4102526,1.3e+07,5.9,10185,1991,NA,0,TRUE,FALSE,FALSE,FALSE,TRUE,"low","low","low",6
"38","Madonna: Truth or Dare",15012935,4500000,6.4,9258,1991,"R",0,FALSE,FALSE,FALSE,TRUE,FALSE,"low","low","low",6
"39","Mannequin: On the Move",3752428,1.3e+07,4.4,6162,1991,NA,0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","low",4
"40","The Marrying Man",12454768,2.6e+07,5.8,5526,1991,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
